Company Name,Verticals,Keywords,Company Financing Status,Total Raised,Business Status,Ownership Status,Universe,Employees,Exchange,Ticker,Year Founded,HQ Location,HQ City,HQ State/Province,HQ Country,HQ Global Region,HQ Global Sub Region,# Active Investors,Acquirers,First Financing Date,First Financing Size,First Financing Valuation,First Financing Deal Type,First Financing Deal Type 2,First Financing Deal Class,First Financing Status,Last Financing Date,Last Financing Size,Last Financing Valuation,Last Financing Deal Type,Last Financing Deal Type 2,Last Financing Deal Class,Last Updated Date,Last Known Valuation (M),Last Known Valuation Date,Count,First Financing Deal Year,Current Year
Advanced Rockets,Space Technology,"ace, aerospace company, air breathing, delv, high speed transportation system, hypersonic flight, hypersonic transportation, leaps, propulsion technology, rocket",Angel-Backed,0.02,Startup,Privately Held (backing),Pre-venture,,,,2017,"Lomita, CA",Lomita,California,United States,Americas,North America,,,13-Aug-2020,0.02,,Angel (individual),Angel (individual),Individual,Completed,13-Aug-2020,0.02,,Angel (individual),Angel (individual),Individual,08-Sep-2020,,,1,2020,2020
Leo Aerospace,"Industrials, Space Technology","launch engineering, launch vehicle, microsatellite launch, microsatellite technology, rocket technology, space launch",Formerly VC-backed,0.02,Out of Business,Out of Business,Venture Capital,,,,2017,"Gardena, CA",Gardena,California,United States,Americas,North America,,,01-Jan-2017,0.08,,Grant,,Other,Completed,17-Apr-2020,,,Out of Business,,Out of Business,01-Sep-2020,,,1,2017,2020
Satim,Space Technology,"environment monitoring, geohazard analysis, hazard monitoring system, satellite imaging, satellite technology",Accelerator/Incubator Backed,0.02,Startup,Privately Held (backing),Pre-venture,,,,2012,"Cracow, Poland",Cracow,,Poland,Europe,Eastern Europe,3,,01-Jan-2017,,,Accelerator/Incubator,,Other,Completed,08-Jun-2020,0.02,0.33,Accelerator/Incubator,,Other,01-Oct-2020,0.33,08-Jun-2020,1,2017,2020
Visionary Transportation,"CleanTech, Industrials, LOHAS & Wellness, Space Technology, TMT","electric rocket engine, electric suv, electric suv vehicle, solar vehicle",Angel-Backed,0.01,Startup,Privately Held (backing),Pre-venture,5,,,2016,"Lockport, IL",Lockport,Illinois,United States,Americas,North America,,,21-Mar-2017,0.01,,Seed Round,Seed Round,Individual,Completed,21-Mar-2017,0.01,,Seed Round,Seed Round,Individual,27-Jul-2019,,,1,2017,2020
ACENT Laboratories,Space Technology,"clean energy firm, clean energy power, clean energy system, power technology services, solid modeling service",Accelerator/Incubator Backed,,Generating Revenue,Privately Held (backing),Venture Capital,16,,,2007,"Bohemia, NY",Bohemia,New York,United States,Americas,North America,5,,,,,Accelerator/Incubator,,Other,Completed,,,,Accelerator/Incubator,,Other,14-Oct-2020,,,1,,2020
ACPT Inc,"Industrials, Space Technology, TMT","composites solutions, composites technology, launch vehicle",Corporation,,,Privately Held (no backing),Debt Financed,,,,1977,"Huntington Beach, CA",Huntington Beach,California,United States,Americas,North America,,,27-Apr-2020,,,Debt - PPP,,Debt,Completed,27-Apr-2020,,,Debt - PPP,,Debt,28-Sep-2020,,,1,2020,2020
Ad Astra Rocket,"Industrials, Space Technology, TMT","electronic circuit, plasma diagnostic tools, plasma diagnostics, plasma rocket, scientific software",Corporation,,Generating Revenue,Publicly Held,"Private Equity, Publicly Listed",21,,,2005,"Webster, TX",Webster,Texas,United States,Americas,North America,1,,01-Jan-2010,,,IPO,,Public Investment,Completed,,,,PIPE,,Private Equity,13-Aug-2019,,,1,2010,2020
Adcole,"Industrials, Manufacturing, Space Technology, TMT","axles manufacturer, cylindrical coordinate measuring, metrology gauge, precision hydraulic cylinders manufacturer, pumps lobes manufacturer",Private Equity-Backed,,Generating Revenue,Privately Held (backing),"Debt Financed, Private Equity",61,,,1957,"Marlborough, MA",Marlborough,Massachusetts,United States,Americas,North America,1,,18-Jan-1978,,,Debt - General,,Debt,Completed,08-Apr-2020,,,Debt - PPP,,Debt,26-Oct-2020,,,1,1978,2020
Adroit Systems,"Industrials, Space Technology, TMT","aeroscience technology, astronautic technology, propulsion engine, propulsion systems, propulsion technology developer",Corporate Backed or Acquired,,Generating Revenue,Acquired/Merged,M&A,25,,,,"Seattle, WA",Seattle,Washington,United States,Americas,North America,,Pratt & Whitney,23-Jan-2001,,,Merger/Acquisition,Corporate Divestiture,Corporate,Completed,23-Jan-2001,,,Merger/Acquisition,Corporate Divestiture,Corporate,17-Oct-2019,,,1,2001,2020
Advanced Solutions,Space Technology,"mission analysis software, software architecture, software integration company, spacecraft research, spacecraft subsystems",Corporation,,Generating Revenue,Privately Held (no backing),Other Private Companies,,,,1995,"Littleton, CO",Littleton,Colorado,United States,Americas,North America,2,,01-Jan-2001,0.10,,Grant,,Other,Completed,01-Jan-2008,0.10,,Grant,,Other,06-May-2020,,,1,2001,2020
AECAble Engineering,"Industrials, Manufacturing, Space Technology, TMT","aerospace subs systems, concentrator array, solar array, wire deployers",Private Equity-Backed,,Generating Revenue,Acquired/Merged,Private Equity,20,,,1975,"Goleta, CA",Goleta,California,United States,Americas,North America,,ATK Space Systems,17-Aug-1999,,,Buyout/LBO,Add-on,Private Equity,Completed,17-Aug-1999,,,Buyout/LBO,Add-on,Private Equity,13-Feb-2020,,,1,1999,2020
Aevum,"Robotics and Drones, Space Technology","comprehensive space logistics services, small payload transfer service, space cargo delivery service, space launch, space logistics services, space payload transportation",Venture Capital-Backed,,Generating Revenue,Privately Held (backing),Venture Capital,2,,,2016,"Huntsville, AL",Huntsville,Alabama,United States,Americas,North America,2,,01-Oct-2016,,,Capitalization,,Individual,Completed,01-Nov-2019,,,Early Stage VC,,Venture Capital,12-Oct-2020,,,1,2016,2020
AirBorn,"Manufacturing, Space Technology, TMT","connectors, electronic assembly, electronic components, electronic device, flexible circuit, oem modules, specialty electronic",Private Equity-Backed,,Generating Revenue,Privately Held (backing),"Debt Financed, Private Equity","1,000",,,1958,"Georgetown, TX",Georgetown,Texas,United States,Americas,North America,1,,03-Jun-2014,,,PE Growth/Expansion,,Private Equity,Completed,17-Sep-2018,60.00,,Leveraged Recapitalization,,Debt,19-Apr-2020,,,1,2014,2020
All Points Logistics,"Industrials, Space Technology, TMT","aerospace systems development, operations maintenance, software development, system integration, system maintenance service",Private Equity-Backed,,Generating Revenue,Privately Held (backing),"Debt Financed, Private Equity, Venture Capital",,,,1997,"Merritt Island, FL",Merritt Island,Florida,United States,Americas,North America,,,31-Oct-2017,,,Bankruptcy: Admin/Reorg,,Bankruptcy,Completed,06-Apr-2020,,,Debt - PPP,,Debt,14-Oct-2020,,,1,2017,2020
Alpha Aviation Components,"Industrials, Manufacturing, Space Technology, TMT","aircraft precision components, high precision cam, precision components manufacturer, self-winding screws, trunnion rotary tables",Corporation,,Generating Revenue,Privately Held (no backing),Debt Financed,,,,1954,"North Hills, CA",North Hills,California,United States,Americas,North America,,,01-May-2020,,,Debt - PPP,,Debt,Completed,01-May-2020,,,Debt - PPP,,Debt,09-Sep-2020,,,1,2020,2020
Alpha Space,Space Technology,"aeronautics research services, space environment testing, space flight facility, space station components, space test",Corporation,,Generating Revenue,Privately Held (no backing),Debt Financed,,,,2015,"Houston, TX",Houston,Texas,United States,Americas,North America,1,,28-Jul-2015,6.60,,Grant,,Other,Completed,10-Apr-2020,,,Debt - PPP,,Debt,09-Sep-2020,,,1,2015,2020
Alphacore,"Cybersecurity, Space Technology","analog mixed signal integrated circuit, comprehensive ic testing, cybersecurity monitoring, high resolution imaging system, reliability monitoring",Corporation,,Startup,Privately Held (no backing),Debt Financed,,,,2012,"Tempe, AZ",Tempe,Arizona,United States,Americas,North America,4,,01-Jan-2017,0.15,,Grant,,Other,Completed,15-Apr-2020,,,Debt - PPP,,Debt,09-Sep-2020,,,1,2017,2020
AMERGINT,Space Technology,"cloud architectures, communication software developer, communication system implementation, satellite software, security system implementation, space software, technology engineering services",Corporation,,Generating Revenue,Privately Held (no backing),Other Private Companies,100,,,2008,"Colorado Springs, CO",Colorado Springs,Colorado,United States,Americas,North America,1,,01-Jan-2015,1.03,,Grant,,Other,Completed,01-Jan-2015,1.03,,Grant,,Other,12-May-2020,,,1,2015,2020
Ansible Space Communications Systems,"Space Technology, TMT","space communication, space mission",Formerly Angel backed,,Out of Business,Out of Business,Pre-venture,,,,2014,"Alpharetta, GA",Alpharetta,Georgia,United States,Americas,North America,,,01-Jul-2014,,,Angel (individual),Angel (individual),Individual,Completed,01-Apr-2016,,,Out of Business,,Out of Business,27-Jul-2019,,,1,2014,2020
ASTRA,"Industrials, Space Technology, TMT","commercial space launch, cubesats, noncommercial research, research development, space investigation platform, space weather monitoring, space-based instrumentation",Venture Capital-Backed,,Generating Revenue,Privately Held (backing),Venture Capital,49,,,2005,"Louisville, CO",Louisville,Colorado,United States,Americas,North America,6,,01-Jan-2007,0.10,,Grant,,Other,Completed,01-Oct-2019,,,Later Stage VC,,Venture Capital,08-Oct-2020,,,1,2007,2020
Astrome Technologies,"Industrials, Space Technology, TMT","fibre quality internet, lightning speed internet, mini-constellation, satellite developer, space technology company",Accelerator/Incubator Backed,,Generating Revenue,Privately Held (backing),Pre-venture,,,,2014,"Bengaluru, India",Bengaluru,Karnataka,India,Asia,South Asia,3,,,,,Accelerator/Incubator,,Other,Completed,01-Jan-2017,,,Accelerator/Incubator,,Other,12-Dec-2019,,,1,,2020
Astrox,"Space Technology, TMT","flight services, space shuttles",Accelerator/Incubator Backed,,Startup,Privately Held (backing),"Pre-venture, Venture Capital",8,,,1987,"College Park, MD",College Park,Maryland,United States,Americas,North America,1,,28-Jul-2005,,,Accelerator/Incubator,,Venture Capital,Completed,28-Jul-2005,,,Accelerator/Incubator,,Venture Capital,27-Jul-2019,,,1,2005,2020
ATK Space Systems,"Industrials, Manufacturing, Space Technology, TMT","diaphragm tank, pressurant tank, propellants fluid, propellants gas",Formerly PE-Backed,,Profitable,Acquired/Merged,"M&A, Private Equity, Venture Capital",350,,,1963,"Commerce, CA",Commerce,California,United States,Americas,North America,,Orbital ATK,08-Jan-1985,,,Merger/Acquisition,,Corporate,Completed,23-Sep-2004,165.00,165.00,Merger/Acquisition,,Corporate,17-Oct-2019,165,23-Sep-2004,1,1985,2020
Atlantic Research Propulsion,"Industrials, Manufacturing, Space Technology, TMT","rocket propulsion, rocket propulsion research, rocket propulsion systems",Corporate Backed or Acquired,,Generating Revenue,Acquired/Merged,M&A,900,,,,"Gainesville, VA",Gainesville,Virginia,United States,Americas,North America,,Aerojet Rocketdyne Holdings,17-Oct-2003,133.00,133.00,Merger/Acquisition,Corporate Divestiture,Corporate,Completed,17-Oct-2003,133.00,133.00,Merger/Acquisition,Corporate Divestiture,Corporate,17-Oct-2019,133,17-Oct-2003,1,2003,2020
Autometric,Space Technology,"3d visualization software, geospatial tools, satellite image analytics, satellite image capture, satellite imagery platform",Corporate Backed or Acquired,,Generating Revenue,Acquired/Merged,M&A,566,,,1957,"Springfield, VA",Springfield,Virginia,United States,Americas,North America,,Boeing,03-Aug-2000,,,Merger/Acquisition,,Corporate,Completed,03-Aug-2000,,,Merger/Acquisition,,Corporate,17-Oct-2019,,,1,2000,2020
BlastOff!,"Industrials, Space Technology, TMT","lunar injection, lunar injection trajectory, space exploration service, space vehicle, space vehicle launching",Formerly VC-backed,,Out of Business,Out of Business,Venture Capital,59,,,1999,"Pasadena, CA",Pasadena,California,United States,Americas,North America,,,01-Mar-2000,,,Early Stage VC,,Venture Capital,Completed,01-Jan-2002,,,Out of Business,,Out of Business,27-Jul-2019,,,1,2000,2020
Blue Canyon Technologies,"Manufacturing, Space Technology, TMT","espa-class satellite designer, small satellite solutions, spacecraft designer, spacecraft manufacturer, spacecraft parts",Corporation,,Generating Revenue,Privately Held (no backing),Debt Financed,260,,,1987,"Boulder, CO",Boulder,Colorado,United States,Americas,North America,1,,01-Jan-2018,6.20,,Grant,,Other,Completed,14-Apr-2020,,,Debt - PPP,,Debt,05-Oct-2020,,,1,2018,2020
BluShift Aerospace,Space Technology,"rocket builder, rocket development, rocket launch technology, rocket manufacturer, rocket production",Corporation,,Generating Revenue,Privately Held (no backing),Other Private Companies,,,,2014,"Brunswick, ME",Brunswick,Maine,United States,Americas,North America,2,,01-Jan-2019,0.01,,Grant,,Other,Completed,01-Jan-2019,0.15,,Grant,,Other,16-Jun-2020,,,1,2019,2020
Broad Reach Engineering,"Industrials, Manufacturing, Space Technology, TMT","ground testing device, software developer, spaceflight electronics, spaceflight electronics and software",Corporate Backed or Acquired,,Profitable,Acquired/Merged,M&A,60,,,1997,"Golden, CO",Golden,Colorado,United States,Americas,North America,,Moog,02-Jan-2013,46.00,46.00,Merger/Acquisition,,Corporate,Completed,02-Jan-2013,46.00,46.00,Merger/Acquisition,,Corporate,19-Apr-2020,46,02-Jan-2013,1,2013,2020
Brown Precision,"Industrials, Manufacturing, Space Technology, TMT","aerospace industry, custom fabrication, machine operators, precision machining",Corporation,,,Privately Held (no backing),Debt Financed,,,,1964,"Huntsville, AL",Huntsville,Alabama,United States,Americas,North America,,,08-Apr-2020,,,Debt - PPP,,Debt,Completed,08-Apr-2020,,,Debt - PPP,,Debt,09-Sep-2020,,,1,2020,2020
Busek,"Industrials, Manufacturing, Space Technology, TMT","electric propulsion aerospace, electric propulsion manufacturer, ion engine, satellite manufacturing, satellite propulsion manufacturer, satellite propulsion systems",Corporation,,Generating Revenue,Privately Held (no backing),Debt Financed,,,,1985,"Natick, MA",Natick,Massachusetts,United States,Americas,North America,,,03-May-2020,,,Debt - PPP,,Debt,Completed,03-May-2020,,,Debt - PPP,,Debt,09-Sep-2020,,,1,2020,2020
Chandah Space Technologies,"Industrials, Space Technology, TMT","aerospace company, satellite, satellite owner, small satellite, space capabilities",Accelerator/Incubator Backed,,Generating Revenue,Privately Held (backing),Pre-venture,,,,2009,"Houston, TX",Houston,Texas,United States,Americas,North America,2,,30-Sep-2014,,,Accelerator/Incubator,,Other,Completed,01-Jan-2017,,,Accelerator/Incubator,,Other,25-Nov-2019,,,1,2014,2020
Comtech Aeroastro,"Industrials, Manufacturing, Nanotechnology, Space Technology, TMT","microsatellite system, nano satellites systems, spacecraft subsystems",Corporate Backed or Acquired,,Out of Business,Out of Business,M&A,,,,1988,"Ashburn, VA",Ashburn,Virginia,United States,Americas,North America,,Radyne,23-Oct-2003,,,Corporate,Corporate,Corporate,Completed,16-Jul-2012,,,Out of Business,,Out of Business,17-Oct-2019,,,1,2003,2020
Connecticut Analytical,"Manufacturing, Nanotechnology, Space Technology","instruments manufacturing, laboratory work, medical instruments, polymer research, research equipment",Corporation,,Generating Revenue,Privately Held (no backing),Other Private Companies,,,,1989,CT,,Connecticut,United States,Americas,North America,4,,01-Jan-2005,0.71,,Grant,,Other,Completed,01-Jan-2017,1.15,,Grant,,Other,27-Jul-2019,,,1,2005,2020
Cordant Technologies,"Industrials, Manufacturing, Space Technology, TMT","commercial product, missile propulsion systems, precision fastening",Formerly PE-Backed,,Profitable,Acquired/Merged,"Private Equity, Publicly Listed","3,800",,,1929,"Salt Lake City, UT",Salt Lake City,Utah,United States,Americas,North America,,Orbital ATK,,,,IPO,,Public Investment,Completed,20-Apr-2001,685.00,685.00,Merger/Acquisition,,Corporate,17-Oct-2019,685,20-Apr-2001,1,,2020
CubeCab,Space Technology,"launch vehicle manufacturer, mini satellite positioning, miniature satellite, satellite launch services, satellite launch vehicle, small satellite launch",Accelerator/Incubator Backed,,Generating Revenue,Privately Held (backing),Pre-venture,2,,,2014,"Mountain View, CA",Mountain View,California,United States,Americas,North America,2,,24-Jul-2014,0.02,,Grant,,Other,Completed,09-Apr-2020,,,Accelerator/Incubator,,Other,03-Sep-2020,,,1,2014,2020
Danco Precision,"Manufacturing, Space Technology","annealing services, epoxy coatings technique, lamination technique, oxide coating services",Corporation,,Generating Revenue,Privately Held (no backing),Debt Financed,,,,1949,"Phoenixville, PA",Phoenixville,Pennsylvania,United States,Americas,North America,,,15-Apr-2020,,,Debt - PPP,,Debt,Completed,15-Apr-2020,,,Debt - PPP,,Debt,03-Sep-2020,,,1,2020,2020
Daniels Manufacturing,"Manufacturing, Space Technology","adapters, aircraft tools kits, backshell, banding tools, bergen cable, connectors, connectors assembly tooling, crimpers, crimping, fiber optic cleave tools, free copy, free rotating cores, gages, guide, hand tools, safe-t-cable, safety cable, skin clamps, straps, tester, tooling, wire crimping",Corporation,,Generating Revenue,Privately Held (no backing),Debt Financed,,,,1971,"Orlando, FL",Orlando,Florida,United States,Americas,North America,1,,01-Jan-2007,0.07,,Grant,,Other,Completed,28-Apr-2020,,,Debt - PPP,,Debt,09-Sep-2020,,,1,2007,2020
Dedicated Maps,"SaaS, Space Technology, TMT","mapping platform, online mapping, online mapping platform, online mapping software, real time online mapping",Formerly Accelerator/Incubator backed,,Generating Revenue,Privately Held (backing),Pre-venture,,,,2009,"Portland, OR",Portland,Oregon,United States,Americas,North America,,,01-Jan-2009,,,Accelerator/Incubator,,Other,Completed,,,,Secondary Transaction - Private,,Other,27-Jul-2019,,,1,2009,2020
Design Intelligence Incorporated,"Manufacturing, Robotics and Drones, Space Technology","defence technology, energy harvesting system, missile design, space technology, unmanned aircraft",Corporation,,Generating Revenue,Privately Held (no backing),Venture Capital,,,,2003,"Norman, OK",Norman,Oklahoma,United States,Americas,North America,2,,01-Jan-2004,0.10,,Grant,,Other,Completed,01-Jan-2010,0.95,,Grant,,Other,23-Sep-2020,,,1,2004,2020
Design Net Engineering,"Space Technology, TMT","aerospace, aerospace engineering, analysis, avionics, spacecraft avionics",Corporate Backed or Acquired,,Generating Revenue,Acquired/Merged,M&A,28,,,1996,"Golden, CO",Golden,Colorado,United States,Americas,North America,,Nightvision,15-Jul-2015,,,Merger/Acquisition,,Corporate,Completed,15-Jul-2015,,,Merger/Acquisition,,Corporate,26-May-2020,,,1,2015,2020
Digital Solid State Propulsion,"Industrials, Manufacturing, Space Technology, TMT","electrically-throttled propellants, energetic material maker, pyrotechnics, rocket motor, rocket propulsion",Venture Capital-Backed,,Generating Revenue,Privately Held (backing),Venture Capital,15,,,2005,"Reno, NV",Reno,Nevada,United States,Americas,North America,5,,01-May-2011,,,Later Stage VC,,Venture Capital,Completed,01-Jan-2015,11.23,,Grant,,Other,18-May-2020,,,1,2011,2020
Dynatherm,"Industrials, Manufacturing, Space Technology, TMT","isothermal furnaces, liquid metal product, precision machining product, thermal management product",Formerly PE-Backed,,Generating Revenue,Acquired/Merged,Private Equity,21,,,,"Hunt Valley, MD",Hunt Valley,Maryland,United States,Americas,North America,,Swales Aerospace,29-May-1998,,,Buyout/LBO,Add-on,Private Equity,Completed,01-Oct-2001,,,Merger/Acquisition,Corporate Divestiture,Corporate,27-Apr-2020,,,1,1998,2020
Dynetics Technical Services,"Space Technology, TMT","installation services, program management, security services, technical services",Corporation,,Out of Business,Out of Business,Other Private Companies,,,,2010,"Huntsville, AL",Huntsville,Alabama,United States,Americas,North America,,,01-Jan-2016,,,Out of Business,,Out of Business,Completed,01-Jan-2016,,,Out of Business,,Out of Business,18-Aug-2020,,,1,2016,2020
E&E Enterprises Global,"Industrials, Mobile, Space Technology, TMT","broadband service, cyber security, fixed satellite system",Formerly Angel backed,,Bankruptcy: Liquidation,Out of Business,"M&A, Pre-venture",,,,1997,"Hampton, VA",Hampton,Virginia,United States,Americas,North America,,,22-Oct-2014,,,Equity Crowdfunding,,Individual,Completed,01-Feb-2018,,,Bankruptcy: Liquidation,,Bankruptcy,13-Aug-2020,,,1,2014,2020
Earth-i,"Industrials, Space Technology, TMT","optical satellite technology, remote sensing, satellite earthing observation, satellite imagery, satellite service, satellite service provider, satellite technology",Venture Capital-Backed,,Generating Revenue,Privately Held (backing),Venture Capital,15,,,2015,"Guildford, United Kingdom",Guildford,England,United Kingdom,Europe,Western Europe,1,,,,,Early Stage VC,Series A,Venture Capital,Completed,20-Feb-2018,3.79,,Grant,,Other,13-Jul-2020,,,1,,2020
EarthScan Network,"AgTech, Space Technology, TMT","geospatial data analysis, geospatial data platform, remote sensing, remote sensing services, remote sensing system, satellite image analytics, satellite image capture, satellite imagery",Corporate Backed or Acquired,,Out of Business,Out of Business,M&A,,,,1999,"Albuquerque, NM",Albuquerque,New Mexico,United States,Americas,North America,,,01-Oct-1999,,,Joint Venture,,Other,Completed,01-Mar-2001,,,Out of Business,,Out of Business,08-Sep-2018,,,1,1999,2020
Eaton,"Manufacturing, Space Technology","fluid-flow components, satellite launching components, space product, specialty valves, valves manufacturing business",Corporate Backed or Acquired,,Generating Revenue,Acquired/Merged,M&A,,,,,"El Segundo, CA",El Segundo,California,United States,Americas,North America,,ESCO Technologies,31-Mar-2000,6.00,6.00,Merger/Acquisition,Corporate Divestiture,Corporate,Completed,31-Mar-2000,6.00,6.00,Merger/Acquisition,Corporate Divestiture,Corporate,17-Oct-2019,6,31-Mar-2000,1,2000,2020
EGC Engineered Solutions,"Industrials, Space Technology, TMT","engineering service provider, fluid sealants, fluid seals, fluid seals gaskets, fluid seals technology, thermal management service",Private Equity-Backed,,Generating Revenue,Privately Held (backing),"Debt Financed, Private Equity",,,,1978,"Chardon, OH",Chardon,Ohio,United States,Americas,North America,1,,05-Sep-2007,,,Debt - General,,Debt,Completed,01-Oct-2014,,,Buyout/LBO,,Private Equity,14-Feb-2020,,,1,2007,2020
Elara,"Mobile, Space Technology, TMT","private satellite network, professional networking, satellite communication, telecom service, telecom technology, telecommunication services",Private Equity-Backed,,Generating Revenue,Privately Held (backing),Private Equity,,,,2004,"Tlalpan, Mexico",Tlalpan,,Mexico,Americas,North America,1,,30-Jul-2015,38.00,38.00,Buyout/LBO,,Private Equity,Completed,30-Jul-2015,38.00,38.00,Buyout/LBO,,Private Equity,23-Jun-2020,38,30-Jul-2015,1,2015,2020
Embotic Technology,Space Technology,"biomimetic hand, prosthetic, robotics hand, robotics material, robotics operations",Accelerator/Incubator Backed,,Startup,Privately Held (backing),Pre-venture,,,,2017,"Seattle, WA",Seattle,Washington,United States,Americas,North America,1,,17-Apr-2017,,,Accelerator/Incubator,,Other,Completed,17-Apr-2017,,,Accelerator/Incubator,,Other,25-Sep-2019,,,1,2017,2020
Emcore,"CleanTech, LOHAS & Wellness, Space Technology, TMT","satellite solar panels, solar cell, solar panels, space power application",Private Equity-Backed,,Profitable,Acquired/Merged,Private Equity,275,,,1998,"Albuquerque, NM",Albuquerque,New Mexico,United States,Americas,North America,,SolAero Technologies,10-Dec-2014,150.00,150.00,Buyout/LBO,Add-on,Private Equity,Completed,10-Dec-2014,150.00,150.00,Buyout/LBO,Add-on,Private Equity,16-Apr-2020,150,10-Dec-2014,1,2014,2020
Engage Communication,Space Technology,"components manufacturing, radio communication equipment, radio technology equipment, satellite communication equipment, satellite communication product",Failed Transaction (Angel),,Generating Revenue,Privately Held (no backing),Other Private Companies,,,,1989,"Aptos, CA",Aptos,California,United States,Americas,North America,,,03-Oct-2019,1.50,,Angel (individual),Angel (individual),Individual,Failed/Cancelled,03-Oct-2019,1.50,,Angel (individual),Angel (individual),Individual,27-May-2020,,,1,2019,2020
Engi-Mat,"Life Sciences, Manufacturing, Nanotechnology, Space Technology, TMT","nanoengineered materials, nanomaterial",Accelerator/Incubator Backed,,Generating Revenue,Privately Held (backing),"Pre-venture, Venture Capital",19,,,1994,"Norcross, GA",Norcross,Georgia,United States,Americas,North America,1,,01-Jan-1997,,,Accelerator/Incubator,,Venture Capital,Completed,01-Jan-2013,25.24,,Grant,,Other,31-Jan-2020,,,1,1997,2020
ExoTerra,Space Technology,"power product, propulsion systems, space exploration product, space exploration service, spacecraft",Corporation,,Startup,Privately Held (no backing),Other Private Companies,35,,,2011,"Littleton, CO",Littleton,Colorado,United States,Americas,North America,2,,01-Jan-2018,1.51,,Grant,,Other,Completed,01-Jan-2018,1.51,,Grant,,Other,07-Aug-2020,,,1,2018,2020
Futron,"Industrials, Manufacturing, Space Technology, TMT","electrical equipment, space equipment",Corporate Backed or Acquired,,Generating Revenue,Acquired/Merged,M&A,,,,,"Bethesda, MD",Bethesda,Maryland,United States,Americas,North America,,Avascent,09-Jul-2014,,,Merger/Acquisition,Corporate Divestiture,Corporate,Completed,09-Jul-2014,,,Merger/Acquisition,Corporate Divestiture,Corporate,17-Oct-2019,,,1,2014,2020
Future Grind,"Artificial Intelligence & Machine Learning, Industrials, Space Technology, TMT","futures science, podcasting, podcasting platform, societal ramifications, space exploration",Accelerator/Incubator Backed,,Startup,Privately Held (backing),Pre-venture,,,,,"Pittsburgh, PA",Pittsburgh,Pennsylvania,United States,Americas,North America,1,,01-Jan-2018,,,Accelerator/Incubator,,Other,Completed,01-Jan-2018,,,Accelerator/Incubator,,Other,24-Sep-2019,,,1,2018,2020
G&H Technology,"CleanTech, Industrials, Manufacturing, Space Technology, TMT","cryogenic fuel system, electromechanical, optical interconnect",Formerly PE-Backed,,Profitable,Acquired/Merged,Private Equity,"30,857",,,1947,"Camarillo, CA",Camarillo,California,United States,Americas,North America,,Cooper Industries,02-Nov-2001,,,Buyout/LBO,Add-on,Private Equity,Completed,24-Jan-2006,,,Merger/Acquisition,Corporate Divestiture,Corporate,10-Aug-2020,,,1,2001,2020
General Dynamics Adv Info Sys,"Industrials, Manufacturing, Space Technology, TMT","missile tracking, spacecraft, surveillance",Corporate Backed or Acquired,,Generating Revenue,Acquired/Merged,M&A,325,,,,"Gilbert, AZ",Gilbert,Arizona,United States,Americas,North America,,Orbital Sciences,02-Apr-2010,55.00,55.00,Merger/Acquisition,Corporate Divestiture,Corporate,Completed,02-Apr-2010,55.00,55.00,Merger/Acquisition,Corporate Divestiture,Corporate,17-Oct-2019,55,02-Apr-2010,1,2010,2020
Generation Orbit,Space Technology,"aerospace systems, atmospheric flight services, flight research vehicle, high speed air vehicle, space generation services",Corporation,,Generating Revenue,Privately Held (no backing),Other Private Companies,24,,,2011,"Atlanta, GA",Atlanta,Georgia,United States,Americas,North America,1,,01-Jan-2014,0.15,,Grant,,Other,Completed,01-Jan-2017,11.98,,Grant,,Other,16-Apr-2020,,,1,2014,2020
Global Aerospace Corporation,Space Technology,"balloon-borne systems, satellite modeling, satellite prototyping, satellite system design, simulation of complex satellite system",Corporation,,Generating Revenue,Privately Held (no backing),Other Private Companies,,,,1997,"Irwindale, CA",Irwindale,California,United States,Americas,North America,3,,01-Jan-2017,6.51,,Grant,,Other,Completed,01-Jan-2017,6.51,,Grant,,Other,27-Jul-2019,,,1,2017,2020
GlobeXplorer,"Space Technology, TMT","aerial imagery product, satellite imagery",Formerly PE-Backed,,Profitable,Acquired/Merged,"M&A, Private Equity",,,,1999,"Walnut Creek, CA",Walnut Creek,California,United States,Americas,North America,,DigitalGlobe,31-Dec-2002,,,Merger/Acquisition,,Corporate,Completed,08-Jan-2007,,,Buyout/LBO,Add-on,Private Equity,16-Dec-2019,,,1,2002,2020
Gray Research,"Space Technology, TMT","launch system development, project management, systems engineering",Corporate Backed or Acquired,,Generating Revenue,Acquired/Merged,M&A,175,,,1998,"Huntsville, AL",Huntsville,Alabama,United States,Americas,North America,,MacAulay-Brown,15-Jul-2008,,,Merger/Acquisition,,Corporate,Completed,15-Jul-2008,,,Merger/Acquisition,,Corporate,17-Oct-2019,,,1,2008,2020
Haigh-Farr,"Industrials, Manufacturing, Space Technology, TMT","aerospace components manufacturer, antenna manufacturer",Corporate Backed or Acquired,,Generating Revenue/Not Profitable,Acquired/Merged,"Debt Financed, M&A",,,,1969,"Bedford, NH",Bedford,New Hampshire,United States,Americas,North America,,,16-Dec-2011,32.15,32.15,Merger/Acquisition,,Corporate,Completed,27-Apr-2020,,,Debt - PPP,,Debt,09-Sep-2020,25.8,09-May-2017,1,2011,2020
